name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000097914,5366.16412851408,2.03469714443544,0.08514484002092,23.8968931521337,3.299223775701748e-126,1.0136289604836193e-123
ENSMUSG00000084755,4659.013726735128,2.0581777487407,0.0872338054735764,23.5938090464726,4.4615206884846176e-123,1.3395715867175094e-120
ENSMUSG00000102478,4955.38256707841,2.00762371470003,0.0853554119750234,23.520754785736298,2.5016598463668084e-122,7.344317384522655e-120
ENSMUSG00000078307,3101.12122718227,2.40158496153951,0.102483379646286,23.4338969872814,1.9294684362408887e-121,5.541349458951837e-119
ENSMUSG00000034066,2810.5179040322496,2.6355348089594903,0.11258577487347,23.409127946416397,3.4501808698028884e-121,9.697944568290634e-119
ENSMUSG00000105594,6934.65078034819,1.78842493893127,0.0766891313958218,23.320448496156892,2.7499969269419587e-120,7.568793625381286e-118
ENSMUSG00000095398,2673.84258887823,2.52608496102309,0.108545966794984,23.2720296811602,8.513446817841954e-120,2.295329508377759e-117
ENSMUSG00000109178,2528.53492895173,2.8947381368478,0.124630529051649,23.226557400299395,2.4552016369555385e-119,6.48713376516392e-117
ENSMUSG00000096967,3539.15578144193,2.31006158669803,0.0994898018538974,23.219079178491,2.9217861204659683e-119,7.568571850485477e-117
ENSMUSG00000084145,5571.083107538349,2.12650821916225,0.0917368197302436,23.1805312786659,7.157453966298126e-119,1.818406237476239e-116
ENSMUSG00000113792,4202.78261067108,2.09250880163979,0.0905156623375309,23.117643373550898,3.0773641770778285e-118,7.670765687429276e-116
ENSMUSG00000028307,10570.594383228,1.6797979756662602,0.0728162502804504,23.0689985984798,9.483386389687254e-118,2.3200929184103383e-115
ENSMUSG00000027496,8197.581400237199,1.68206869958235,0.0732315992965215,22.9691651655933,9.481581382781173e-117,2.277475848144039e-114
ENSMUSG00000048230,18705.276460708603,1.53934107678837,0.0671864192953167,22.9114915325703,3.5691329982037675e-116,8.419967149869646e-114
ENSMUSG00000113280,6411.364621930339,1.83712165222064,0.0805363102232672,22.8110978405599,3.5581551005103484e-115,8.246804742603896e-113
ENSMUSG00000027905,7336.8979407657,1.71713106664568,0.0761019505846423,22.5635618200857,9.883554483635638e-113,2.2512351428156996e-110
ENSMUSG00000037419,10424.3211693597,1.60647372241344,0.0713511637860973,22.5150318112466,2.957262852669838e-112,6.621762635020547e-110
ENSMUSG00000091438,2546.0076566460198,2.4865501443812703,0.110587237496468,22.484964817578398,5.824671008947688e-112,1.2824954783201294e-109
ENSMUSG00000034321,3568.79781337466,2.18581756240678,0.0972242644651382,22.4822226676814,6.195835590397807e-112,1.3418554751597593e-109
ENSMUSG00000055943,10266.036311972099,1.5992683918537802,0.0711608440934288,22.47399412174011,7.457380174164316e-112,1.5890233787239495e-109
ENSMUSG00000039168,2208.72632022203,2.60318974140246,0.117767665522421,22.1044522692594,2.863882760028868e-108,6.005516689324035e-106
ENSMUSG00000114210,5056.42576493199,2.03193254014278,0.0924183197337563,21.986252790534202,3.89885226637572e-107,8.048083951732747e-105
ENSMUSG00000097766,8625.46278258437,1.6508836916316598,0.0752389960878952,21.9418622984161,1.0357286704193396e-106,2.1050786869092192e-104
ENSMUSG00000042423,4196.6387150384,1.98872822593981,0.0907415711234059,21.916396215304694,1.8125065954711394e-106,3.6280340352680585e-104
ENSMUSG00000068876,5763.75184306375,1.88209308859927,0.0859295809985974,21.90273787824,2.446307692859229e-106,4.8236076015467575e-104
ENSMUSG00000049804,1883.4203926017,2.7632255121701004,0.126866059971513,21.7806520734589,3.53998339962962e-105,6.87745892536867e-103
ENSMUSG00000050786,7165.1621748664,1.6457169157328302,0.0756819496350915,21.7451707265449,7.6746523251175e-105,1.4694178531467694e-102
ENSMUSG00000040782,2724.07985690968,2.42813163418134,0.111958661333283,21.687751579604807,2.6775749548780585e-104,5.05334896127057e-102
ENSMUSG00000051452,10066.1060155733,1.5509187878385202,0.0716268133689636,21.652768214738803,5.723712722171768e-104,1.0650136446846699e-101
ENSMUSG00000108015,3823.33955893641,2.06535014787431,0.0961199899333925,21.487207284411106,2.050815746978589e-102,3.762962060185288e-100
ENSMUSG00000097077,3376.486931784289,2.10055369660723,0.0980211792158816,21.4295901499101,7.080061614978217e-102,1.2812971780202394e-99
ENSMUSG00000022894,2964.9965489656797,2.2449643115211697,0.104923348859687,21.3962319723833,1.4485228852049894e-101,2.586004842762579e-99
ENSMUSG00000103598,4594.520987583371,1.86772431489517,0.0876813988974978,21.301260454096997,1.1050729582565596e-100,1.946549180203649e-98
ENSMUSG00000016481,1538.93935465447,3.01147696713575,0.141952037420457,21.2147498680548,6.979697565326128e-100,1.2132734807305693e-97
ENSMUSG00000020309,4717.65126768827,1.84866866049401,0.0871610280097938,21.209807900456198,7.752907501892376e-100,1.330177415681819e-97
ENSMUSG00000035875,6066.20307348442,1.68723630964704,0.0795766669261935,21.202651164215396,9.026559835216295e-100,1.52884464080824e-97
ENSMUSG00000028255,1554.07273668149,2.93348923376796,0.138529391379051,21.1759338907452,1.5919531920441492e-99,2.6621890658348485e-97
ENSMUSG00000105711,830.131912988188,4.41959294179759,0.208781174204612,21.168541457987303,1.8623211587720294e-99,3.075390603567158e-97
ENSMUSG00000031355,5465.32211869385,1.87390485665402,0.0886339014831654,21.142077978028894,3.263865225670669e-99,5.323323888436437e-97
ENSMUSG00000018796,1842.4733001328304,2.73915181653306,0.130433239274386,21.000412408457,6.501872742835615e-98,1.0348944675373692e-95
ENSMUSG00000044365,9290.324280674693,1.59445624685592,0.07624910945628599,20.9111458248575,4.239293161147908e-97,6.667297851419656e-95
ENSMUSG00000044906,3557.6229431806105,2.00799984455137,0.09613063888194,20.888239877584,6.849768412273036e-97,1.0646151822886993e-94
ENSMUSG00000105523,2129.42570973015,2.5429792546241496,0.122072380281644,20.831733179585896,2.2323509258000287e-96,3.4292544279935176e-94
ENSMUSG00000056938,5609.93391061098,1.71579054964938,0.082409299963153,20.820350984859,2.8310434907830687e-96,4.298955811118978e-94
ENSMUSG00000064587,6461.526615129611,1.68030454728236,0.0809323023008299,20.7618528018216,9.580097800418686e-96,1.4382121822878599e-93
ENSMUSG00000095991,4178.26469825255,1.91201247720781,0.0925114719495137,20.6678419110146,6.746618333614876e-95,1.0014558966897297e-92
ENSMUSG00000025154,722.937546910105,6.507732613074388,0.315614963611583,20.6192144333285,1.8453033062521194e-94,2.708700219877419e-92
ENSMUSG00000099193,709.6195743010201,4.75749509756404,0.232252869143095,20.4841176564018,2.9834047612484185e-93,4.3311824506431677e-91
ENSMUSG00000117096,1872.3851612175,2.5889775415578504,0.12656631537068302,20.455502192469893,5.366680893070798e-93,7.706437095473737e-91
ENSMUSG00000046753,3699.06210949351,1.93404737879035,0.0946275928567992,20.438513972527694,7.601874170139746e-93,1.0798748350722199e-90
ENSMUSG00000003355,3751.07832737184,1.94019309824131,0.095160484914053,20.3886424075461,2.1091779807319196e-92,2.9642925854733483e-90
ENSMUSG00000110768,5451.92822105349,1.6746677280273998,0.0822946670941845,20.349650677981,4.6759468605311194e-92,6.5025193657343764e-90
ENSMUSG00000044037,2999.2973992151396,2.11073132234366,0.105850750112242,19.9406364159487,1.807505152493709e-88,2.487390684332749e-86
ENSMUSG00000082740,3706.70181564008,2.00468566664626,0.100677344007589,19.911984035804,3.203725992366248e-88,4.363342689190768e-86
ENSMUSG00000028755,2853.92157511355,2.13411042062123,0.107439809236398,19.8633117071679,8.454744660950296e-88,1.1397513440389194e-85
ENSMUSG00000069892,7184.9583064893295,1.68353538766839,0.0848777646458678,19.8348224024577,1.4904184367325292e-87,1.9689917967673392e-85
ENSMUSG00000087938,4466.21967075673,1.7700395826114,0.0894163020427232,19.7954907793623,3.255657081692688e-87,4.258463931311099e-85
ENSMUSG00000031492,3782.7305916068894,2.16235776243841,0.109328731577545,19.7784949229442,4.5610169835968495e-87,5.907411310813518e-85
ENSMUSG00000117845,1182.25774585377,3.2048271101957595,0.162376593623861,19.7370017357281,1.0375497794826993e-86,1.3179875131486394e-84
ENSMUSG00000057766,4280.35650394801,2.07361937417928,0.10536865143736802,19.679661321392697,3.221478799403088e-86,4.0532339446584888e-84
ENSMUSG00000089908,5989.38798474523,1.56716117474942,0.0798594945241646,19.623980643594198,9.649306964392535e-86,1.2026131538357496e-83
ENSMUSG00000087340,3545.0280245622107,2.05221233665823,0.10564537904432697,19.4254813151567,4.699592907193857e-84,5.748733508975748e-82
ENSMUSG00000105071,2362.40774644921,2.22262703046458,0.114535989320508,19.4054903061513,6.935376151942047e-84,8.405803150762057e-82
ENSMUSG00000117335,2751.87769087304,2.05539245062412,0.106672063410589,19.2683293536075,9.908321667214467e-83,1.1899894322324596e-80
ENSMUSG00000061665,6008.65512058735,1.66389932387074,0.0864345843898699,19.2503884367118,1.4010851272953295e-82,1.6675437492521292e-80
ENSMUSG00000106354,3324.1112725206,1.92363717548394,0.100073667125705,19.2222113042745,2.4126549354379587e-82,2.8206711815992e-80
ENSMUSG00000047044,5525.457330898721,1.57243000705284,0.0819582448584357,19.185745250753698,4.869103303656238e-82,5.642607346017767e-80
ENSMUSG00000079139,6441.685357180721,1.5562660112066298,0.0811853845447157,19.1692879196681,6.681710960232066e-82,7.675833347445725e-80
ENSMUSG00000071553,2234.3035086028,2.20810054947522,0.115511560950843,19.115840278661803,1.8639370377644198e-81,2.1227993280953288e-79
ENSMUSG00000117958,2009.7426513801504,2.53926170699681,0.13342022079483098,19.0320604468313,9.254147658720896e-81,1.0449277326441199e-78
ENSMUSG00000111471,4562.0691197383,1.6487091583028897,0.0872183512482639,18.903236930149,1.07265340956353e-79,1.19082556249948e-77
ENSMUSG00000022504,5148.3734907115895,1.64269773429721,0.0874919274126233,18.7754205773755,1.1999398954993196e-78,1.3210338299534599e-76
ENSMUSG00000105217,7402.27187918615,1.59353052931908,0.0852698326833196,18.6880926017203,6.188629678928486e-78,6.646990787668637e-76
ENSMUSG00000093176,1671.2082603919696,2.67282661617297,0.14423325434014905,18.5312785765034,1.1550940298509693e-76,1.2111069228858096e-74
ENSMUSG00000032446,5073.81756734313,1.60027005992951,0.0867487931693975,18.4471737468971,5.4944450962623197e-76,5.6708682942751196e-74
ENSMUSG00000024691,3415.68157427617,1.86890070078722,0.101625936040729,18.3899974120603,1.5798753664062e-75,1.6179638345420395e-73
ENSMUSG00000054181,1664.28044193191,2.46270422206852,0.134178706839128,18.353912331419,3.071764356232399e-75,3.121621454629709e-73
ENSMUSG00000086998,2811.1790839351893,1.93659198201807,0.105899649335565,18.2870481079837,1.04946442926827e-74,1.0583568377910799e-72
ENSMUSG00000091078,1552.15899381303,2.52157459158246,0.138157712160445,18.2514211631857,2.01596012944322e-74,2.0176400962177598e-72
ENSMUSG00000081263,2478.76684842363,2.07354397308949,0.113803314438841,18.220418125025894,3.554287139973288e-74,3.5305028124952684e-72
ENSMUSG00000106675,1230.34960815673,2.77655524804139,0.152457107955919,18.2120419655618,4.142061685640308e-74,4.083640069327918e-72
ENSMUSG00000114470,4487.77835491053,1.5980916797272802,0.0878112328479822,18.1991714259823,5.239428297899608e-74,5.12726572174457e-72
ENSMUSG00000118477,2698.156554453961,1.9436688198595904,0.107205933889931,18.1302354201323,1.8396986702487192e-73,1.7740335133325493e-71
ENSMUSG00000053768,3975.5545347661,1.68279195617946,0.0929615508082894,18.102021121074106,3.071861461378719e-73,2.940750852628569e-71
ENSMUSG00000056821,2055.6605152596107,2.15904929470079,0.119516767880787,18.064823312946,6.031477506237657e-73,5.732507146396099e-71
ENSMUSG00000032845,1927.0433127542801,2.21762622254607,0.123028760955427,18.025266655733603,1.2341561013529794e-72,1.1646025896410193e-70
ENSMUSG00000042041,4590.64592138302,1.5848984395886498,0.0880553481000404,17.998889037245398,1.9876612268105994e-72,1.8623398913046e-70
ENSMUSG00000102703,4960.26353966739,1.5501429260541102,0.0862154307975529,17.979877983723,2.801083139752009e-72,2.60599361684956e-70
ENSMUSG00000112496,2498.34218834277,1.97113612155034,0.110493604880953,17.839368384026,3.49625506834221e-71,3.1421105923720393e-69
ENSMUSG00000047657,1960.80744322921,2.30860516872717,0.129638886261607,17.8079682362318,6.1294745295162875e-71,5.398432533962649e-69
ENSMUSG00000091216,4332.58779934806,1.57325506641967,0.0887162378104742,17.733563835074197,2.30921568391626e-70,2.02033433114024e-68
ENSMUSG00000097401,3391.06068988976,1.71857485131204,0.0970220631058447,17.7132375492488,3.314472605041409e-70,2.8619279467452287e-68
ENSMUSG00000090965,4550.633804373921,1.66247440123305,0.0941545682426756,17.6568639447017,9.010910793343685e-70,7.730074187718406e-68
ENSMUSG00000089646,736.8572203320531,3.59552022094361,0.204986061328318,17.5403156568036,7.053451665584717e-69,5.97327884320767e-67
ENSMUSG00000088637,1146.01178783679,2.754435263197509,0.157351753549387,17.5049543526885,1.3133226863456594e-68,1.1051150324402896e-66
ENSMUSG00000055401,3402.5493363835303,1.72775726198293,0.098730995812299,17.4996438329016,1.4416785614769395e-68,1.2054440174475792e-66
ENSMUSG00000033615,2941.3811643923,1.7910218635689097,0.102680504850344,17.4426670980953,3.913756519551028e-68,3.211468160235319e-66
ENSMUSG00000080186,2415.1769822149104,1.9397799209696,0.111432821832707,17.4076173345209,7.222803592566779e-68,5.890151744530838e-66
ENSMUSG00000044860,1923.8441213853,2.16203944702171,0.12437347216790302,17.383445274431,1.10133649953096e-67,8.926230978713768e-66
ENSMUSG00000085908,5331.03892521937,1.7125554155067302,0.0989795902165491,17.3021065429749,4.534991575236438e-67,3.631016587905969e-65
ENSMUSG00000108503,1260.35394078732,2.60908404505351,0.150889992112893,17.2912994991838,5.4705006997119086e-67,4.3536617315598795e-65
ENSMUSG00000032218,997.585728922043,3.02370520179402,0.175305437807408,17.248211120044598,1.1541791314033394e-66,9.130455392197347e-65
ENSMUSG00000030213,4843.18931612161,1.52005853384209,0.0881652855836801,17.2410095853358,1.3073365384713196e-66,1.02196585856477e-64
ENSMUSG00000052273,1967.51711316312,2.11270822188995,0.1225379398685,17.241257884351402,1.3017332269625996e-66,1.02196585856477e-64
ENSMUSG00000115979,1253.7613788628698,2.94069008283387,0.17104086426472306,17.1929093990224,3.000881503556189e-66,2.3320379731459293e-64
ENSMUSG00000109045,3206.93761457067,1.70016020033656,0.0990143628964096,17.1708442149478,4.3898849129420395e-66,3.39150699326768e-64
ENSMUSG00000026365,1588.70197942602,2.32158460665494,0.135416398912645,17.144043301229402,6.96355278604024e-66,5.348575340487067e-64
ENSMUSG00000082515,5940.9567355849,1.66491610712841,0.0972909469462105,17.1127546743779,1.1922511689567399e-65,9.052201260395087e-64
ENSMUSG00000070808,1485.87832330672,2.34749705789059,0.138406160788865,16.9609289392229,1.5979802579740695e-64,1.1860065836008696e-62
ENSMUSG00000101823,1481.53625877084,2.33265857254172,0.139418625828884,16.731326669398598,7.749278648212955e-63,5.71931397885706e-61
ENSMUSG00000029769,2287.94715602788,1.8893176090753,0.1134886334195,16.647637319691903,3.147868931055519e-62,2.2849723323172794e-60
ENSMUSG00000081758,1302.37702154337,2.4563506616737403,0.147570965429829,16.6452164524312,3.2777882515098692e-62,2.3662765350107594e-60
ENSMUSG00000111412,2641.35912751751,1.93548561521674,0.116603422232083,16.5988748714805,7.100952224680558e-62,5.098406513057328e-60
ENSMUSG00000083798,2080.71479771486,1.97383726379002,0.118956947377214,16.5928708436924,7.847775931004437e-62,5.604160422945928e-60
ENSMUSG00000003934,4655.98850477842,4.34253348760803,0.262799131763577,16.524154621312498,2.4586285548155196e-61,1.7369487613726092e-59
ENSMUSG00000083049,1844.00933975137,2.24402216144578,0.135963802812615,16.5045557348707,3.4022769524812e-61,2.3908234478313387e-59
ENSMUSG00000099936,2183.44245211642,1.92768061878931,0.117045022983648,16.4695650412972,6.070527808132889e-61,4.24326681869014e-59
ENSMUSG00000088357,880.60205810474,2.9446444400746805,0.178977531706889,16.452592747211998,8.035356844110157e-61,5.587110487765228e-59
ENSMUSG00000080730,1752.58711429349,2.2820697484422703,0.13907176394717802,16.4092960617731,1.640970196599229e-60,1.1291071493370999e-58
ENSMUSG00000044066,1529.48880130409,2.21187814408426,0.135832500099953,16.283865366952902,1.2849019231668692e-59,8.705045798439748e-58
ENSMUSG00000096834,1579.38022406316,2.18248708356057,0.134066686852657,16.279115526731697,1.3886144356605892e-59,9.35968638240409e-58
ENSMUSG00000094683,1533.5003884900698,2.5095666298475097,0.15441630161714098,16.2519539942727,2.1635724835484994e-59,1.4509114761502192e-57
ENSMUSG00000056257,1191.26924279262,2.49007927029585,0.153567608937917,16.2148729638846,3.9589534399231284e-59,2.6282278339107796e-57
ENSMUSG00000098376,1019.3071021099099,2.9780686715785496,0.184062031367993,16.1797012096674,7.013395206673908e-59,4.6096499539984586e-57
ENSMUSG00000098328,748.084162539981,3.2865368403770097,0.203227336359959,16.1717262020098,7.982987279050898e-59,5.220952719977299e-57
ENSMUSG00000075707,1265.59216764882,2.3926813941539504,0.148242944323995,16.140271667328598,1.3295483651350692e-58,8.652543572314947e-57
ENSMUSG00000107432,2449.94079914007,1.7982117915644398,0.111485234128716,16.1295960457714,1.5805081599870895e-58,1.02353398537203e-56
ENSMUSG00000091423,609.334452821613,3.59321063115789,0.223445382395168,16.0809348246151,3.471014408841069e-58,2.23486321378693e-56
ENSMUSG00000031400,3682.2548048570397,1.52477182502199,0.0948413739321425,16.0770744012307,3.694173770797628e-58,2.357668100773309e-56
ENSMUSG00000102808,1589.9179624638598,2.1998017626309,0.13686139271930198,16.073208951940302,3.931941020279958e-58,2.4973496547557e-56
ENSMUSG00000102759,1582.17561088773,2.19656681538295,0.136934607954616,16.040991011643698,6.609123754354218e-58,4.177661909989168e-56
ENSMUSG00000082625,2259.1416918751997,1.8231096787012,0.113952620081973,15.9988394947807,1.3017907229899396e-57,8.150690635744116e-56
ENSMUSG00000098908,2079.85160343388,1.89492165622578,0.118555475629675,15.983417435267501,1.667480733743859e-57,1.03422948232348e-55
ENSMUSG00000083621,2638.243689948189,1.7689945482074498,0.11097335724443902,15.940713988772302,3.305553305337288e-57,2.031147196130739e-55
ENSMUSG00000032307,2526.0050994133,1.72651474545197,0.108891372520949,15.8553860189412,1.2903231195478793e-56,7.783771110660767e-55
ENSMUSG00000080676,3381.55364850216,1.56708605107154,0.0991892363345464,15.7989526785553,3.1632829270251686e-56,1.8995513976786088e-54
ENSMUSG00000102728,1886.217280711,2.01931399346461,0.128201272069302,15.751122909084899,6.747249302531659e-56,4.015221195303858e-54
ENSMUSG00000028223,2976.6167066023304,1.9497504956911296,0.124090907537067,15.7122752535976,1.24625028178189e-55,7.35009485384844e-54
ENSMUSG00000087088,2158.96687646368,1.83884296276284,0.117139809856246,15.6978482807806,1.5645951255435692e-55,9.186607201580475e-54
ENSMUSG00000022861,1847.8590342814105,1.95065190907135,0.12496395937030197,15.6097159445072,6.251469428751878e-55,3.5907896792713487e-53
ENSMUSG00000025630,1216.72929690208,2.37317566577338,0.15271498929348498,15.539900023910901,1.8627379389082693e-54,1.0516508936289393e-52
ENSMUSG00000094925,1198.0529437413,2.39875310869044,0.156552322147819,15.3223732218134,5.420179729455688e-53,2.9835831002432994e-51
ENSMUSG00000051900,970.777403433874,2.64473983835476,0.17263763941914,15.319601491617401,5.656322916536587e-53,3.100650707484019e-51
ENSMUSG00000065979,2568.40078445927,1.7181225170289098,0.112158502530757,15.318700573393901,5.73526318829723e-53,3.1309323132477185e-51
ENSMUSG00000040312,846.237783176323,2.77219339201513,0.18127028792347,15.2931482802384,8.494259567238968e-53,4.599084555032538e-51
ENSMUSG00000081973,2929.88078340897,1.55154924630269,0.102412615510727,15.1499816557285,7.578775645034917e-52,3.957438934646499e-50
ENSMUSG00000036411,2768.60241075351,1.5806059826926002,0.104579108615363,15.1139745176639,1.3099447876430299e-51,6.813260074626808e-50
ENSMUSG00000030587,2301.29792106894,1.74596706666251,0.116010321854925,15.0501010491626,3.447073761142439e-51,1.77566845597659e-49
ENSMUSG00000020910,576.716379565987,3.4971782511625,0.23237122501733296,15.049962622960901,3.4542940972370385e-51,1.77566845597659e-49
ENSMUSG00000102259,3130.66015711403,1.5197252037353302,0.101036329950336,15.0413737759709,3.93302551653206e-51,2.0061467219654396e-49
ENSMUSG00000009876,2288.97139234068,1.6954077205810498,0.113010368085159,15.002231647484601,7.099166646534729e-51,3.57965994531948e-49
ENSMUSG00000070342,2658.40703171487,1.61088787707328,0.107555714640736,14.9772411670925,1.0342180950731999e-50,5.175399717428778e-49
ENSMUSG00000067194,2355.88925963447,1.67415201572645,0.112049327650496,14.941205367590197,1.7773102400193494e-50,8.82708480484798e-49
ENSMUSG00000087067,938.1573412914612,2.89777307783414,0.194070297038654,14.9315640881251,2.0539131106505396e-50,1.01626389905634e-48
ENSMUSG00000078886,2247.95053758402,1.77113007122823,0.118887872270098,14.8974831276689,3.422300841320379e-50,1.68701553786132e-48
ENSMUSG00000077420,1487.7159355607,2.04825552899026,0.139635898892588,14.6685454473698,1.0251922296663999e-48,4.925023471317389e-47
ENSMUSG00000101526,1119.0569571896601,2.37988018128962,0.162565165918043,14.639545734474401,1.57114427526776e-48,7.49328051283839e-47
ENSMUSG00000026499,1442.14581305917,2.04388568520733,0.14035487366143698,14.5622708488026,4.88090995229846e-48,2.29472246903256e-46
ENSMUSG00000036390,460.709086455154,4.27685229419896,0.293966957585874,14.548751768979399,5.9478452679169e-48,2.7667952054383887e-46
ENSMUSG00000002748,921.7406919992708,2.750765628932069,0.189521110278412,14.5142967181394,9.836131901285516e-48,4.5435363128630386e-46
ENSMUSG00000118012,2764.63467317656,1.5258935032842902,0.105929104879976,14.404856012077401,4.823219879068128e-47,2.1821766377523694e-45
ENSMUSG00000063586,1856.5297172455896,1.7980873257156298,0.12508524021675402,14.374896051682901,7.43816532663718e-47,3.34236741939469e-45
ENSMUSG00000082762,2586.92048924071,1.54472488313124,0.107485107660111,14.3715247326724,7.809283654433679e-47,3.49723546978723e-45
ENSMUSG00000077593,2328.2714706554502,1.61564741727064,0.11242557765232597,14.370817130840097,7.88948670922385e-47,3.5212165174174395e-45
ENSMUSG00000068264,2495.96279145032,1.56896429476475,0.109864041953788,14.280962786939002,2.87600427444172e-46,1.2749963915989799e-44
