name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000028248,575.717215792697,1.65529008046487,0.251938526108978,6.57021419482649,5.02429342961355e-11,7.54140240953599e-09
ENSMUSG00000012483,494.875574446156,1.67476388800988,0.264849633212885,6.323451792979139,2.5578402631899e-10,3.30832148083647e-08
ENSMUSG00000070225,414.322992259032,1.70025235012841,0.27607407714515303,6.15868163976314,7.33530181825234e-10,8.65850480643805e-08
ENSMUSG00000081875,515.820578828293,1.56192013567325,0.25482239499615195,6.12944610185001,8.818554247467419e-10,1.0211045956258e-07
ENSMUSG00000097255,438.042341420204,1.65273813998606,0.26975314439129106,6.1268540306195,8.9633632213773e-10,1.0280808494859e-07
ENSMUSG00000114140,254.50762929354198,2.2360338101800297,0.36534986450189294,6.120253563604231,9.34265686209336e-10,1.03261838299392e-07
ENSMUSG00000115358,71.22042007323671,4.79588197725867,0.791442913602194,6.0596688590344,1.3640206635629e-09,1.44206636761719e-07
ENSMUSG00000105360,395.8846550716069,2.04267948248514,0.343606505234643,5.94482191508636,2.76757571969642e-09,2.72070108744124e-07
ENSMUSG00000113871,503.063560247371,1.6608745848611497,0.279642912080817,5.93926937930453,2.86295105836415e-09,2.76252055298343e-07
ENSMUSG00000103382,378.62732478054704,1.71132780803899,0.3060840051474989,5.591039646826099,2.25714030522126e-08,1.7819683007064998e-06
ENSMUSG00000019189,168.39258416109502,2.42916032396877,0.4378318851978401,5.54815765158613,2.8869550727731002e-08,2.19372498592346e-06
ENSMUSG00000072941,483.616745020357,1.60216444159771,0.294507587254362,5.4401465732492005,5.32367531693161e-08,3.7630956106543295e-06
ENSMUSG00000106674,85.32179407501701,3.4239707980116005,0.633134872623729,5.4079643154428805,6.37451208763134e-08,4.35400662704617e-06
ENSMUSG00000093170,339.386840725755,1.86126105783551,0.3529109279616929,5.2740250028118805,1.33463712275467e-07,7.87695055264626e-06
ENSMUSG00000032497,344.644154688344,1.68311133361748,0.323933094681852,5.195861001082741,2.0377447945210606e-07,1.1417005166722198e-05
ENSMUSG00000106273,328.49553426331903,1.6361154886561298,0.31690985530511306,5.16271571005868,2.43392644739726e-07,1.3342954925676199e-05
ENSMUSG00000021699,205.662124110155,1.99241903187321,0.387408063363481,5.14294672799272,2.7046233343003e-07,1.4679826115367401e-05
ENSMUSG00000100218,66.25913610500841,3.61016777055731,0.7098724647774141,5.08565686047465,3.6635589578806896e-07,1.89538509829419e-05
ENSMUSG00000109524,213.251781872433,2.10444469073798,0.41475492183025,5.0739474807228,3.89646640707262e-07,2.0073406176775e-05
ENSMUSG00000018572,297.38682597197203,1.6969419654808997,0.34254740563424,4.953889410836268,7.274456011070509e-07,3.40164754548443e-05
ENSMUSG00000082014,93.53578352914231,2.74997260795409,0.573587743341464,4.794336419976459,1.6321417957323901e-06,6.77255288481721e-05
ENSMUSG00000021911,134.734990638862,2.2459133867189,0.478568399023498,4.692983053836421,2.6924980180250403e-06,0.000103921875883011
ENSMUSG00000040990,374.0574701171231,1.53182950582898,0.3301264283692669,4.64012988416527,3.48190264758154e-06,0.000131061834022589
ENSMUSG00000039683,202.921119729067,1.8581352976594496,0.406206621096614,4.5743599467757186,4.77678010540155e-06,0.000173361470213349
ENSMUSG00000064330,248.47957001349602,1.5774617763774,0.34971129650253496,4.51075441987036,6.4597472066916495e-06,0.000225036121888129
ENSMUSG00000107559,61.5362307885336,3.5911066846999704,0.798565675904665,4.49694595329525,6.893650239817889e-06,0.000236759885920073
ENSMUSG00000086873,90.83455199736773,2.62071417099354,0.583518724564078,4.4912254922948,7.081452862963229e-06,0.00024184355030310898
ENSMUSG00000096372,274.082303958767,1.62885793442994,0.3728273977402871,4.36893303523957,1.2485504101950697e-05,0.000397378949925438
ENSMUSG00000086984,207.19871212485,1.62831482003204,0.3836988077870821,4.24373176821442,2.1983310059688695e-05,0.000636364485013559
ENSMUSG00000036009,117.491863073505,2.27338718856401,0.535902453394811,4.24216604003707,2.2137281055437697e-05,0.000637784509649316
ENSMUSG00000025793,247.693193865363,1.62004596426849,0.38360181271343297,4.22324898000088,2.4080554442500398e-05,0.0006808636765393482
ENSMUSG00000067870,235.83421807585097,1.5292107796737,0.367194848996964,4.16457579361727,3.1193199196971e-05,0.000835345629596418
ENSMUSG00000040414,111.230730706513,2.14455788795241,0.5149278889055741,4.16477323166636,3.11662182239561e-05,0.000835345629596418
ENSMUSG00000108089,164.612579060171,1.77936324096646,0.4431793982158579,4.01499539042152,5.94469566270807e-05,0.00144551219734409
ENSMUSG00000102051,116.89684699410299,2.74358445312038,0.6836448033268809,4.01317239561983,5.9908126836228894e-05,0.00145381837539894
ENSMUSG00000101132,220.31583305609504,1.5520009618525,0.38863210558274897,3.99349652166614,6.510603423702421e-05,0.00154300032018273
ENSMUSG00000090691,220.67753250516202,1.5585702964939,0.391516704612395,3.98085261275606,6.86685188783255e-05,0.00161796870643931
ENSMUSG00000112926,99.05744468064378,2.17018920839603,0.5494293912214071,3.94989646180304,7.818500665789929e-05,0.00178343960778
ENSMUSG00000031698,2255.89679332763,1.6361260995128102,0.41810992537195707,3.9131481943589104,9.11005871188603e-05,0.0019992796718251
ENSMUSG00000081024,47.3617788737121,3.42610607371928,0.8897507283513449,3.85063587423823,0.00011781154755156298,0.00247383902440743
ENSMUSG00000030413,210.98813965571603,1.52685039654932,0.397110713585916,3.8448985240459503,0.00012060233589494399,0.00251938694125555
ENSMUSG00000112691,184.85263139228402,1.52814826198758,0.40115181013396,3.8094013871638,0.000139303652455647,0.0028560772454566
ENSMUSG00000027502,100.598175431757,2.05047104129967,0.539601259031812,3.79997453115427,0.000144710959672312,0.00294031402194294
ENSMUSG00000110729,7732.65034843115,1.67051137943454,0.463161354750296,3.60675898863617,0.00031004538918726,0.005506569266452921
ENSMUSG00000081555,86.59273094197269,2.12998141495745,0.595914331390788,3.5743080888595897,0.00035115525991452796,0.00606640538233089
ENSMUSG00000077148,58.82961022511729,2.57535619549471,0.727869510168923,3.53821139574458,0.000402847398102484,0.006783658332599271
ENSMUSG00000059602,109.52843264787799,1.78150006743392,0.520450488643397,3.4229962432691097,0.000619349332809169,0.00941256148536735
ENSMUSG00000051184,136.930462123712,1.5785557635629195,0.473228072690415,3.33571876788384,0.0008507918381636321,0.012155026049816
ENSMUSG00000071648,82.943054788154,1.9408490396961104,0.5914130775174139,3.28171478358788,0.00103177911551169,0.0141972089505693
ENSMUSG00000048668,117.046898659867,1.6100807411738205,0.497193641431176,3.23833735391142,0.0012022855139157199,0.0159015552983003
ENSMUSG00000031458,61.5801444968575,2.44015397955885,0.761153143174662,3.2058646823441,0.00134657295858636,0.0173687969869019
ENSMUSG00000115759,120.506199766191,1.6399242997662402,0.5127670349479461,3.198185897291,0.00138295098852033,0.0177712464697641
ENSMUSG00000092447,113.464761874406,1.6851186317258702,0.543954776047391,3.09790207923289,0.00194895814048606,0.0229829612725795
ENSMUSG00000032493,117.548097748541,1.6158213028786002,0.524494570435821,3.0807207432785297,0.00206500222862236,0.0239406711575822
ENSMUSG00000114424,88.9200113657204,1.7030597933793998,0.568405088955255,2.9962078568115498,0.00273360031124278,0.0295949355156632
ENSMUSG00000035472,108.474214508412,1.76179399207138,0.593505137147067,2.9684561797395403,0.0029929977426244,0.0317252541890388
ENSMUSG00000113948,125.87186873421,1.77574946134915,0.6169961344979891,2.87805605588432,0.0040013403077922794,0.0393913323580069
ENSMUSG00000029624,142.99992712267098,1.72678436860796,0.6028729701705899,2.8642590629322005,0.00417986004692944,0.0406772954313038
ENSMUSG00000067924,67.0819302820883,1.8293908099007,0.652874706913282,2.8020549586763,0.005077822244846111,0.0472795192753276
ENSMUSG00000114094,81.76726414554041,1.62092615222007,0.5932795878761701,2.7321454931943303,0.00629233471966746,0.0553962386109464
ENSMUSG00000079311,63.0832833837061,1.7930710626246298,0.682754495568099,2.6262310600132595,0.00863361883657896,0.0704007631221509
ENSMUSG00000117956,84.02007692856871,1.67872415000921,0.6426664183941321,2.61212364916146,0.008998170312241491,0.0724981806867011
ENSMUSG00000108689,74.53146384469491,1.5749378507521798,0.6163682524327181,2.55518976607917,0.010612992034678,0.0817601555992648
ENSMUSG00000066364,48.2010109624144,2.0764829226848502,0.8191282069638559,2.5349913542612,0.0112450101346847,0.0849172877127309
ENSMUSG00000032580,51.664325221812895,2.0198530629357,0.8018916026307831,2.51886047479375,0.0117735300238476,0.08781753253370501
ENSMUSG00000006649,77.0195163280257,1.5108812487583798,0.605785759297945,2.4940851209664703,0.0126282256717153,0.0923149732676591
ENSMUSG00000064565,53.17923610422971,1.95488360246872,0.794070961372975,2.46185000782381,0.0138222458128785,0.0977321621597433
ENSMUSG00000081861,575.357332793576,2.8892696606770003,0.278869048607773,10.360668116814699,3.7433803774121096e-25,4.25167307350775e-21
ENSMUSG00000048349,772.059101638787,2.5477502338511897,0.25162213353894,10.1253025638816,4.2665711364608996e-24,1.96660485583271e-20
ENSMUSG00000034220,550.735287766178,2.70083757987719,0.31353415888421504,8.61417329929458,7.044806480953379e-18,1.21769480023279e-14
ENSMUSG00000103436,527.307324152584,1.9793894621161896,0.260007770425478,7.612808874431349,2.6820225401073797e-14,2.1815886873297e-11
ENSMUSG00000088856,1102.9077164866,1.71260665635413,0.23655490418580305,7.2397850395397185,4.49396445451991e-13,3.10712702385506e-10
ENSMUSG00000052790,228.678261047802,2.62600195067617,0.378475272008002,6.93837126199529,3.9664621046341e-12,2.38470599925567e-09
ENSMUSG00000114140,249.671904955963,2.38994309774666,0.35787811222649896,6.67809238983043,2.4207242316671105e-11,1.15426809225837e-08
ENSMUSG00000091557,158.430451474242,3.5502309799199803,0.572128106053665,6.20530776648643,5.45899631663312e-10,1.84114636747324e-07
ENSMUSG00000093170,324.80421966745604,2.20037017026837,0.358489703335132,6.1378894562318,8.362501802604922e-10,2.75325416491478e-07
ENSMUSG00000065118,206.56882478881198,2.34119960961685,0.392341635008711,5.967247420898548,2.41289385645317e-09,7.09904175468818e-07
ENSMUSG00000105360,400.899302203084,1.88809337275756,0.316260986155396,5.9700483316327695,2.37183314685276e-09,7.09904175468818e-07
ENSMUSG00000113871,509.7877369848989,1.59188508771543,0.277600364560706,5.7344488370342805,9.78299494248109e-09,2.50517137156719e-06
ENSMUSG00000101132,204.617392217249,2.03933720736096,0.392993742947264,5.18923581853214,2.1115884587068998e-07,4.358066448805821e-05
ENSMUSG00000109524,219.57966141990104,1.90536903575938,0.404482490177018,4.71063416101279,2.46947173804798e-06,0.000359451107302395
ENSMUSG00000084946,378.690315450023,1.61400720456857,0.350722698722558,4.60194680996494,4.18560107832346e-06,0.000567436193245654
ENSMUSG00000082014,93.80856606133352,2.77208093025781,0.606698015519504,4.56912806593595,4.89757464848993e-06,0.000638902473955837
ENSMUSG00000100218,68.9434689062097,3.06596364231138,0.6800493120840749,4.50844311997824,6.53050714989702e-06,0.00082847571439244
ENSMUSG00000061898,46.53708085260261,3.79760140049206,0.866011728148621,4.38516162894313,1.15899689129947e-05,0.0013816042252490599
ENSMUSG00000029624,126.903537035606,2.3816449659547003,0.546713741712865,4.356292487715709,1.32283985003238e-05,0.00155039876942153
ENSMUSG00000085433,3133.58953354343,2.0341642022541,0.468061047496251,4.345937806906259,1.38681862449288e-05,0.00161150654953676
ENSMUSG00000106674,91.3318579637467,2.62719396734692,0.6124498261527039,4.2896476660798,1.78956794673862e-05,0.0019485153990158694
ENSMUSG00000027669,167.05748332157899,2.03053963394106,0.473650502147264,4.28699985482067,1.8110241159677305e-05,0.00195647199028139
ENSMUSG00000113948,114.47370056548401,2.22692897110106,0.5242497420638089,4.24783989846963,2.15841547827834e-05,0.0022441029498972104
ENSMUSG00000023971,46.28020593983021,3.90340552987596,0.92952082218844,4.1993739534375205,2.67653973495835e-05,0.0026436565325003
ENSMUSG00000040414,111.270617064569,2.16634535663753,0.519023222310149,4.17388907377829,2.99443594156972e-05,0.00291599015493141
ENSMUSG00000108089,159.05186421772498,2.16949025232394,0.526869801114539,4.11769710037395,3.82677204588241e-05,0.0033920899904142303
ENSMUSG00000027248,29.3476903205236,5.98881346631699,1.46079665725204,4.09969001269677,4.13703889669948e-05,0.00360007137774675
ENSMUSG00000115358,79.4168569201944,2.6307937829836003,0.6420698018327429,4.097364142456451,4.17881271706726e-05,0.00361153889072538
ENSMUSG00000081024,47.2630907886331,3.4014598456009706,0.8334702956403441,4.0810810695871,4.4826715177297714e-05,0.00382631986093625
ENSMUSG00000081555,81.5964666961445,2.7475287671701603,0.6771012345226021,4.05778135836267,4.9541115046691214e-05,0.00415184569009482
ENSMUSG00000083500,189.491568735245,1.66374590460453,0.412496157580761,4.03336097568082,5.4984716226883703e-05,0.00449898613009082
ENSMUSG00000115759,111.544806248707,2.10286779461349,0.5244820371232121,4.00941814165408,6.0868548853579394e-05,0.00492216545934091
ENSMUSG00000107559,64.70955019517939,2.94950755945032,0.74819256753609,3.94217703760877,8.07453384714575e-05,0.0061687654164824
ENSMUSG00000112926,100.57010675331499,2.08018167185777,0.543273759770452,3.82897505069396,0.000128678049757171,0.00885253767185154
ENSMUSG00000025793,253.550183747033,1.6695016397828897,0.4365757248961121,3.82408261517556,0.000131259900071708,0.00896291601159642
ENSMUSG00000092447,105.272459062694,2.49336782402998,0.666550142695254,3.74070555884638,0.000183504395202851,0.0119131397974884
ENSMUSG00000105526,39.549950694039204,3.47049681006281,0.950826566315906,3.649978800560521,0.000262261952821001,0.0155646278266472
ENSMUSG00000006649,67.70243307224901,2.66271251542833,0.7292258935107521,3.65142343288043,0.000260790852680486,0.0155646278266472
ENSMUSG00000034349,130.19949156123698,1.77836560086087,0.4976953628756161,3.5732010653780604,0.000352643774208031,0.019198260274601
ENSMUSG00000019978,33.3342274632655,3.45094352558698,0.987674250794025,3.49400981428102,0.000475823525949604,0.0239261371521132
ENSMUSG00000111707,23.894959333975105,4.7449386622391785,1.38515693176945,3.4255603487309,0.000613532618153017,0.0295607283756792
ENSMUSG00000067924,63.2404293496347,2.37112750385812,0.6953272943693679,3.410088346968509,0.0006494183896403401,0.0309660603170573
ENSMUSG00000106734,25.8788707344697,4.48508520841731,1.3277172265580302,3.37804249180711,0.000730037990266631,0.0338757225819026
ENSMUSG00000097668,117.51742157638,1.74235195472196,0.524196180880065,3.3238547289618703,0.000887824307478246,0.0393371457638037
ENSMUSG00000091109,19.3969516063946,5.38914414160204,1.6266481924113798,3.31303607426818,0.000922890754265782,0.0402578339116316
ENSMUSG00000102051,128.481241607634,1.58573686024153,0.478793088331391,3.31194601360657,0.0009264942316148199,0.0402879315558796
ENSMUSG00000086873,100.587754573291,1.87034116112498,0.5668711486232421,3.29941145473265,0.0009688778745399713,0.0419710100046229
ENSMUSG00000077148,60.4909861426451,2.4322028753234304,0.739658988673251,3.28827596577464,0.00100802976980032,0.0432889306111764
ENSMUSG00000114424,86.3880023272776,1.95251241341077,0.6140862415295301,3.17954105037033,0.00147508474569291,0.0558834845573741
ENSMUSG00000081520,123.75391551564199,1.5363055888643402,0.486665557680978,3.15679949940371,0.00159510984767369,0.0594533125973902
ENSMUSG00000110729,7106.129313957041,2.40506424979971,0.78149171801398,3.0775300548440097,0.0020872378955054107,0.0714414000471504
ENSMUSG00000059602,113.55265504709499,1.5985766197911495,0.519936345996641,3.07456216919577,0.0021081177957770303,0.0715163070457183
ENSMUSG00000021650,20.661075064125,4.47553623524571,1.50723748607474,2.96936367134899,0.00298417193457046,0.0926051314132663
ENSMUSG00000081861,2333.30068373913,1.8616751625293704,0.14815827874161,12.5654481028101,3.27016986480981e-36,4.51872071919419e-32
ENSMUSG00000029406,223.06232042725605,2.15251363355997,0.38961480533403503,5.52472237730936,3.30007013447241e-08,1.14000922795349e-05
ENSMUSG00000039633,299.43582888967,1.6109712078630802,0.32077903506568395,5.02205889961982,5.1120500374432e-07,0.00011972594477523799
ENSMUSG00000088005,190.693658249501,1.85646896788028,0.396001144712306,4.68803939753508,2.7583492417239397e-06,0.0005015114450281768
ENSMUSG00000105636,220.39908772898602,1.7226763022150702,0.400710096870014,4.29905888489226,1.71524900023749e-05,0.00216216617198651
ENSMUSG00000116570,102.61382697910999,2.00547262193906,0.533915303788086,3.7561624619305496,0.000172538710992694,0.0122893809716342
ENSMUSG00000048442,92.3734319281114,1.8817968870011896,0.580956115812033,3.23913775203296,0.0011989165417990901,0.0508178796766251
ENSMUSG00000107891,75.8942345363723,1.83488063364847,0.612743404730864,2.9945334694453503,0.00274864897950482,0.0897891999971573
ENSMUSG00000056124,31.6938296980005,2.9152018388697005,0.988585364510846,2.94886202398125,0.00318946336430015,0.0983858568899753
